年度	醫事機構代碼	醫事機構名稱	特約類別	分母病人入院日起6個月內期間接受心臟復健人次數_含跨院住院及門診	18歲以上因急性心肌梗塞AMI入院治療的出院人次數	急性心肌梗塞病人接受心臟復健之比率	申報醫師數	病患平均年齡	病患重大傷病人數	病患重大傷病比率	縣市別	鄉鎮別
2022年上半年度	905320023	台南市立醫院(委託秀傳醫療社團法人經營)	區域醫院	6	34	0.1765	7	61.6061	2	0.0606	10021	10021010
2022年全年度	905320023	台南市立醫院(委託秀傳醫療社團法人經營)	區域醫院	46	81	0.5679	7	61.7625	6	0.075	10021	10021010
2022年下半年度	905320023	台南市立醫院(委託秀傳醫療社團法人經營)	區域醫院	40	47	0.8511	6	61.8723	4	0.0851	10021	10021010
2023年上半年度	905320023	台南市立醫院(委託秀傳醫療社團法人經營)	區域醫院	26	33	0.7879	6	61.125	2	0.0625	10021	10021010
2022年上半年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	13	0	3	55.9231	1	0.0769	66000	10019070
2022年上半年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	13	0	3	55.9231	1	0.0769	66000	10019070
2022年全年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	27	0	4	56.5926	1	0.037	66000	10019070
2022年全年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	27	0	4	56.5926	1	0.037	66000	10019070
2022年下半年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	14	0	3	57.2143	0	0	66000	10019070
2022年下半年度	917070029	林新醫療社團法人林新醫院	區域醫院	0	14	0	3	57.2143	0	0	66000	10019070
2023年上半年度	917070029	林新醫療社團法人林新醫院	區域醫院	1	13	0.0769	4	59	1	0.0769	66000	10019070
2023年上半年度	917070029	林新醫療社團法人林新醫院	區域醫院	1	13	0.0769	4	59	1	0.0769	66000	10019070
2022年上半年度	932020025	天成醫療社團法人天晟醫院	區域醫院	0	17	0	3	56.2353	1	0.0588	68000	68000020
2022年全年度	932020025	天成醫療社團法人天晟醫院	區域醫院	1	32	0.0313	3	57.125	1	0.0313	68000	68000020
2022年下半年度	932020025	天成醫療社團法人天晟醫院	區域醫院	1	15	0.0667	3	58.1333	0	0	68000	68000020
2023年上半年度	932020025	天成醫療社團法人天晟醫院	區域醫院	1	18	0.0556	3	62.2222	0	0	68000	68000020
2023年上半年度	932020034	新國民醫療社團法人新國民醫院	地區醫院	0	1	0	1	81	0	0	68000	68000020
2022年上半年度	933050018	東元醫療社團法人東元綜合醫院	區域醫院	13	18	0.7222	4	59.3889	3	0.1667	10004	10004010
2022年全年度	933050018	東元醫療社團法人東元綜合醫院	區域醫院	22	27	0.8148	5	58.0741	4	0.1481	10004	10004010
2022年下半年度	933050018	東元醫療社團法人東元綜合醫院	區域醫院	9	9	1	5	55.4444	1	0.1111	10004	10004010
2023年上半年度	933050018	東元醫療社團法人東元綜合醫院	區域醫院	14	17	0.8235	4	60.7647	2	0.1176	10004	10004010
2022年全年度	935020027	李綜合醫療社團法人苑裡李綜合醫院	地區醫院	0	1	0	1	71	0	0	10005	10005020
2022年下半年度	935020027	李綜合醫療社團法人苑裡李綜合醫院	地區醫院	0	1	0	1	71	0	0	10005	10005020
2022年上半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	6	0	2	51.8333	0	0	66000	66000110
2022年上半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	6	0	2	51.8333	0	0	66000	66000110
2022年全年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	13	0	2	53	0	0	66000	66000110
2022年全年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	13	0	2	53	0	0	66000	66000110
2022年下半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	7	0	2	54	0	0	66000	66000110
2022年下半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	0	7	0	2	54	0	0	66000	66000110
2023年上半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	1	10	0.1	2	62.4	0	0	66000	66000110
2023年上半年度	936030018	李綜合醫療社團法人大甲李綜合醫院	區域醫院	1	10	0.1	2	62.4	0	0	66000	66000110
2022年上半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	10	14	0.7143	5	61.5	2	0.1429	66000	66000130
2022年上半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	10	14	0.7143	5	61.5	2	0.1429	66000	66000130
2022年全年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	18	26	0.6923	6	61.9615	2	0.0769	66000	66000130
2022年全年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	18	26	0.6923	6	61.9615	2	0.0769	66000	66000130
2022年下半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	8	12	0.6667	5	62.5	0	0	66000	66000130
2022年下半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	8	12	0.6667	5	62.5	0	0	66000	66000130
2023年上半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	12	24	0.5	6	60.75	1	0.0417	66000	66000130
2023年上半年度	936050029	光田醫療社團法人光田綜合醫院	區域醫院	12	24	0.5	6	60.75	1	0.0417	66000	66000130
2022年上半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	22	29	0.7586	8	60.5357	1	0.0357	66000	66000140
2022年上半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	22	29	0.7586	8	60.5357	1	0.0357	66000	66000140
2022年全年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	44	52	0.8462	10	60.0196	4	0.0784	66000	66000140
2022年全年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	44	52	0.8462	10	60.0196	4	0.0784	66000	66000140
2022年下半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	22	23	0.9565	7	59.3913	3	0.1304	66000	66000140
2022年下半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	22	23	0.9565	7	59.3913	3	0.1304	66000	66000140
2023年上半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	31	34	0.9118	8	55.9118	3	0.0882	66000	66000140
2023年上半年度	936060016	童綜合醫療社團法人童綜合醫院	區域醫院	31	34	0.9118	8	55.9118	3	0.0882	66000	66000140
2022年上半年度	937010019	秀傳醫療社團法人秀傳紀念醫院	區域醫院	0	16	0	6	64.3125	0	0	10007	10007010
2022年全年度	937010019	秀傳醫療社團法人秀傳紀念醫院	區域醫院	1	29	0.0345	6	64.5517	2	0.069	10007	10007010
2022年下半年度	937010019	秀傳醫療社團法人秀傳紀念醫院	區域醫院	1	13	0.0769	5	64.8462	2	0.1538	10007	10007010
2023年上半年度	937010019	秀傳醫療社團法人秀傳紀念醫院	區域醫院	0	14	0	6	57.1429	1	0.0714	10007	10007010
2022年上半年度	937050014	員榮醫療社團法人員榮醫院	地區醫院	7	9	0.7778	2	61.6667	1	0.1111	10007	10007100
2022年全年度	937050014	員榮醫療社團法人員榮醫院	地區醫院	14	16	0.875	3	59.4375	3	0.1875	10007	10007100
2022年下半年度	937050014	員榮醫療社團法人員榮醫院	地區醫院	7	7	1	2	56.5714	2	0.2857	10007	10007100
2023年上半年度	937050014	員榮醫療社團法人員榮醫院	地區醫院	7	8	0.875	3	67.5	0	0	10007	10007100
2022年上半年度	938030016	佑民醫療社團法人佑民醫院	地區醫院	2	9	0.2222	4	60.1111	0	0	10008	10008030
2022年全年度	938030016	佑民醫療社團法人佑民醫院	地區醫院	4	15	0.2667	4	62.5333	1	0.0667	10008	10008030
2022年下半年度	938030016	佑民醫療社團法人佑民醫院	地區醫院	2	6	0.3333	3	66.1667	1	0.1667	10008	10008030
2023年上半年度	938030016	佑民醫療社團法人佑民醫院	地區醫院	6	11	0.5455	4	59.8182	1	0.0909	10008	10008030
2022年上半年度	938040012	竹山秀傳醫療社團法人竹山秀傳醫院	地區醫院	0	11	0	2	57.3636	0	0	10008	10008040
2022年全年度	938040012	竹山秀傳醫療社團法人竹山秀傳醫院	地區醫院	0	22	0	2	59.7273	1	0.0455	10008	10008040
2022年下半年度	938040012	竹山秀傳醫療社團法人竹山秀傳醫院	地區醫院	0	11	0	1	62.0909	1	0.0909	10008	10008040
2023年上半年度	938040012	竹山秀傳醫療社團法人竹山秀傳醫院	地區醫院	0	10	0	3	68.6	2	0.2	10008	10008040
2022年全年度	942020019	高雄市立岡山醫院（委託秀傳醫療社團法人經營）	地區醫院	0	1	0	1	75	1	1	64000	64000190
2022年全年度	942020019	高雄市立岡山醫院（委託秀傳醫療社團法人經營）	地區醫院	0	1	0	1	75	1	1	64000	64000190
2022年下半年度	942020019	高雄市立岡山醫院（委託秀傳醫療社團法人經營）	地區醫院	0	1	0	1	75	1	1	64000	64000190
2022年下半年度	942020019	高雄市立岡山醫院（委託秀傳醫療社團法人經營）	地區醫院	0	1	0	1	75	1	1	64000	64000190
2022年上半年度	943010017	寶建醫療社團法人寶建醫院	區域醫院	3	20	0.15	2	66.4211	0	0	10013	10013010
2022年全年度	943010017	寶建醫療社團法人寶建醫院	區域醫院	4	27	0.1481	3	62.56	2	0.08	10013	10013010
2022年下半年度	943010017	寶建醫療社團法人寶建醫院	區域醫院	1	7	0.1429	3	51	2	0.2857	10013	10013010
2023年上半年度	943010017	寶建醫療社團法人寶建醫院	區域醫院	0	8	0	2	62.25	1	0.125	10013	10013010
2022年上半年度	943030019	安泰醫療社團法人安泰醫院	區域醫院	4	11	0.3636	3	63.2727	2	0.1818	10013	10013030
2022年全年度	943030019	安泰醫療社團法人安泰醫院	區域醫院	5	17	0.2941	5	65.1176	2	0.1176	10013	10013030
2022年下半年度	943030019	安泰醫療社團法人安泰醫院	區域醫院	1	6	0.1667	4	68.5	0	0	10013	10013030
2023年上半年度	943030019	安泰醫療社團法人安泰醫院	區域醫院	3	9	0.3333	6	65.4444	3	0.3333	10013	10013030
2023年上半年度	943040015	南門醫療社團法人南門醫院	地區醫院	1	1	1	1	63	0	0	10013	10013040
2022年上半年度	943160012	枋寮醫療社團法人枋寮醫院	地區醫院	0	16	0	2	56.4375	0	0	10013	10013160
2022年全年度	943160012	枋寮醫療社團法人枋寮醫院	地區醫院	0	24	0	3	57.4583	0	0	10013	10013160
2022年下半年度	943160012	枋寮醫療社團法人枋寮醫院	地區醫院	0	8	0	2	59.5	0	0	10013	10013160
2023年上半年度	943160012	枋寮醫療社團法人枋寮醫院	地區醫院	0	11	0	2	62.2727	1	0.0909	10013	10013160
2022年上半年度	1101010021	基督復臨安息日會醫療財團法人臺安醫院	區域醫院	0	11	0	1	63.4545	1	0.0909	63000	63000010
2022年全年度	1101010021	基督復臨安息日會醫療財團法人臺安醫院	區域醫院	0	16	0	1	63.3125	1	0.0625	63000	63000010
2022年下半年度	1101010021	基督復臨安息日會醫療財團法人臺安醫院	區域醫院	0	5	0	1	63	0	0	63000	63000010
2023年上半年度	1101010021	基督復臨安息日會醫療財團法人臺安醫院	區域醫院	0	3	0	1	75.6667	1	0.3333	63000	63000010
2022年上半年度	1101020018	國泰醫療財團法人國泰綜合醫院	醫學中心	13	14	0.9286	9	66.4286	3	0.2143	63000	63000030
2022年全年度	1101020018	國泰醫療財團法人國泰綜合醫院	醫學中心	23	28	0.8214	11	62.7778	3	0.1111	63000	63000030
2022年下半年度	1101020018	國泰醫療財團法人國泰綜合醫院	醫學中心	10	14	0.7143	9	58.8462	0	0	63000	63000030
2023年上半年度	1101020018	國泰醫療財團法人國泰綜合醫院	醫學中心	7	11	0.6364	8	64.6364	1	0.0909	63000	63000030
2022年上半年度	1101100011	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	醫學中心	41	62	0.6613	19	60.4194	5	0.0806	63000	63000040
2022年全年度	1101100011	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	醫學中心	78	112	0.6964	24	61.5982	9	0.0804	63000	63000040
2022年下半年度	1101100011	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	醫學中心	37	50	0.74	19	63.06	4	0.08	63000	63000040
2023年上半年度	1101100011	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	醫學中心	65	81	0.8025	23	61.3038	10	0.1266	63000	63000040
2022年上半年度	1101150011	新光醫療財團法人新光吳火獅紀念醫院	醫學中心	33	49	0.6735	16	58.875	4	0.0833	63000	63000110
2022年全年度	1101150011	新光醫療財團法人新光吳火獅紀念醫院	醫學中心	60	101	0.5941	18	59.97	15	0.15	63000	63000110
2022年下半年度	1101150011	新光醫療財團法人新光吳火獅紀念醫院	醫學中心	27	52	0.5192	13	60.9808	11	0.2115	63000	63000110
2023年上半年度	1101150011	新光醫療財團法人新光吳火獅紀念醫院	醫學中心	12	42	0.2857	14	56.5952	2	0.0476	63000	63000110
2022年上半年度	1101160017	振興醫療財團法人振興醫院	區域醫院	22	37	0.5946	15	60.8286	2	0.0571	63000	63000120
2022年全年度	1101160017	振興醫療財團法人振興醫院	區域醫院	46	74	0.6216	21	59.8592	7	0.0986	63000	63000120
2022年下半年度	1101160017	振興醫療財團法人振興醫院	區域醫院	24	37	0.6486	14	58.9167	5	0.1389	63000	63000120
2023年上半年度	1101160017	振興醫療財團法人振興醫院	區域醫院	25	34	0.7353	16	63.0588	2	0.0588	63000	63000120
2022年上半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	5	17	0.2941	5	59	4	0.25	64000	64000110
2022年上半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	5	17	0.2941	5	59	4	0.25	64000	64000110
2022年全年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	15	40	0.375	7	59	6	0.1579	64000	64000110
2022年全年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	15	40	0.375	7	59	6	0.1579	64000	64000110
2022年下半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	10	23	0.4348	5	59	2	0.0909	64000	64000110
2022年下半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	10	23	0.4348	5	59	2	0.0909	64000	64000110
2023年上半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	5	9	0.5556	4	59.6667	1	0.1111	64000	64000110
2023年上半年度	1102110011	高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）	區域醫院	5	9	0.5556	4	59.6667	1	0.1111	64000	64000110
2022年上半年度	1105040016	台灣基督長老教會新樓醫療財團法人麻豆新樓醫院	地區醫院	3	8	0.375	2	63	1	0.125	10021	67000070
2022年全年度	1105040016	台灣基督長老教會新樓醫療財團法人麻豆新樓醫院	地區醫院	11	22	0.5	4	62	4	0.1818	10021	67000070
2022年下半年度	1105040016	台灣基督長老教會新樓醫療財團法人麻豆新樓醫院	地區醫院	8	14	0.5714	4	61.4286	3	0.2143	10021	67000070
2023年上半年度	1105040016	台灣基督長老教會新樓醫療財團法人麻豆新樓醫院	地區醫院	5	10	0.5	3	55.5	0	0	10021	67000070
2022年上半年度	1111060015	長庚醫療財團法人基隆長庚紀念醫院	區域醫院	18	25	0.72	9	56.96	2	0.08	10017	10017060
2022年全年度	1111060015	長庚醫療財團法人基隆長庚紀念醫院	區域醫院	44	59	0.7458	16	61.9828	8	0.1379	10017	10017060
2022年下半年度	1111060015	長庚醫療財團法人基隆長庚紀念醫院	區域醫院	26	34	0.7647	14	65.7879	6	0.1818	10017	10017060
2023年上半年度	1111060015	長庚醫療財團法人基隆長庚紀念醫院	區域醫院	17	24	0.7083	8	62.5417	3	0.125	10017	10017060
2022年上半年度	1112010519	台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院	區域醫院	0	22	0	9	57.2381	1	0.0476	10018	10018010
2022年全年度	1112010519	台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院	區域醫院	0	43	0	9	55.881	4	0.0952	10018	10018010
2022年下半年度	1112010519	台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院	區域醫院	0	21	0	7	54.5238	3	0.1429	10018	10018010
2023年上半年度	1112010519	台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院	區域醫院	2	12	0.1667	6	56.9167	2	0.1667	10018	10018010
2022年上半年度	1112010528	國泰醫療財團法人新竹國泰綜合醫院	地區醫院	6	7	0.8571	2	62.8571	1	0.1429	10018	10018010
2022年全年度	1112010528	國泰醫療財團法人新竹國泰綜合醫院	地區醫院	12	18	0.6667	2	63.2222	2	0.1111	10018	10018010
2022年下半年度	1112010528	國泰醫療財團法人新竹國泰綜合醫院	地區醫院	6	11	0.5455	2	63.4545	1	0.0909	10018	10018010
2023年上半年度	1112010528	國泰醫療財團法人新竹國泰綜合醫院	地區醫院	6	10	0.6	2	61.3	0	0	10018	10018010
2022年上半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	0	17	0	3	62.6471	1	0.0588	10021	10021010
2022年上半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	0	17	0	3	62.6471	1	0.0588	10021	10021010
2022年全年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	2	32	0.0625	3	62.5	2	0.0625	10021	10021010
2022年全年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	2	32	0.0625	3	62.5	2	0.0625	10021	10021010
2022年下半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	2	15	0.1333	3	62.3333	1	0.0667	10021	10021010
2022年下半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	2	15	0.1333	3	62.3333	1	0.0667	10021	10021010
2023年上半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	1	16	0.0625	4	63.625	2	0.125	10021	10021010
2023年上半年度	1121010018	台灣基督長老教會新樓醫療財團法人台南新樓醫院	區域醫院	1	16	0.0625	4	63.625	2	0.125	10021	10021010
2022年上半年度	1122010012	戴德森醫療財團法人嘉義基督教醫院	區域醫院	37	44	0.8409	11	63.1163	7	0.1628	10020	10020010
2022年全年度	1122010012	戴德森醫療財團法人嘉義基督教醫院	區域醫院	73	84	0.869	13	62.4512	13	0.1585	10020	10020010
2022年下半年度	1122010012	戴德森醫療財團法人嘉義基督教醫院	區域醫院	36	40	0.9	10	61.7179	6	0.1538	10020	10020010
2023年上半年度	1122010012	戴德森醫療財團法人嘉義基督教醫院	區域醫院	34	39	0.8718	10	60.0811	5	0.1351	10020	10020010
2022年上半年度	1122010021	天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院	區域醫院	1	7	0.1429	3	59.1429	0	0	10020	10020010
2022年全年度	1122010021	天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院	區域醫院	1	16	0.0625	5	57.2667	2	0.1333	10020	10020010
2022年下半年度	1122010021	天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院	區域醫院	0	9	0	4	55.625	2	0.25	10020	10020010
2023年上半年度	1122010021	天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院	區域醫院	0	19	0	2	59.3684	3	0.1579	10020	10020010
2022年上半年度	1131010011	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	醫學中心	60	64	0.9375	19	58.375	4	0.0625	65000	65000010
2022年全年度	1131010011	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	醫學中心	116	122	0.9508	22	58.8099	13	0.1074	65000	65000010
2022年下半年度	1131010011	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	醫學中心	56	58	0.9655	16	59.3448	9	0.1552	65000	65000010
2023年上半年度	1131010011	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	醫學中心	73	73	1	17	59.7917	5	0.0694	65000	65000010
2022年上半年度	1131050515	佛教慈濟醫療財團法人台北慈濟醫院	醫學中心	18	21	0.8571	10	62.7619	2	0.0952	65000	65000060
2022年全年度	1131050515	佛教慈濟醫療財團法人台北慈濟醫院	醫學中心	33	41	0.8049	12	61.9024	2	0.0488	65000	65000060
2022年下半年度	1131050515	佛教慈濟醫療財團法人台北慈濟醫院	醫學中心	15	20	0.75	9	61	0	0	65000	65000060
2023年上半年度	1131050515	佛教慈濟醫療財團法人台北慈濟醫院	醫學中心	13	20	0.65	8	62.05	3	0.15	65000	65000060
2022年上半年度	1131090019	行天宮醫療志業醫療財團法人恩主公醫院	區域醫院	11	18	0.6111	6	57.8889	3	0.1667	65000	65000090
2022年全年度	1131090019	行天宮醫療志業醫療財團法人恩主公醫院	區域醫院	24	33	0.7273	6	60.2813	5	0.1563	65000	65000090
2022年下半年度	1131090019	行天宮醫療志業醫療財團法人恩主公醫院	區域醫院	13	15	0.8667	5	63.3571	2	0.1429	65000	65000090
2023年上半年度	1131090019	行天宮醫療志業醫療財團法人恩主公醫院	區域醫院	12	15	0.8	6	63.8	0	0	65000	65000090
2022年上半年度	1131110516	國泰醫療財團法人汐止國泰綜合醫院	區域醫院	22	30	0.7333	5	60.0357	1	0.0357	65000	65000110
2022年全年度	1131110516	國泰醫療財團法人汐止國泰綜合醫院	區域醫院	41	50	0.82	6	61.7083	3	0.0625	65000	65000110
2022年下半年度	1131110516	國泰醫療財團法人汐止國泰綜合醫院	區域醫院	19	20	0.95	6	64.05	2	0.1	65000	65000110
2023年上半年度	1131110516	國泰醫療財團法人汐止國泰綜合醫院	區域醫院	19	23	0.8261	5	63.6522	0	0	65000	65000110
2022年上半年度	1131130018	新北市立土城醫院（委託長庚醫療財團法人興建經營）	區域醫院	6	22	0.2727	7	62.1364	3	0.1364	65000	65000130
2022年全年度	1131130018	新北市立土城醫院（委託長庚醫療財團法人興建經營）	區域醫院	24	49	0.4898	8	62.6939	5	0.102	65000	65000130
2022年下半年度	1131130018	新北市立土城醫院（委託長庚醫療財團法人興建經營）	區域醫院	18	27	0.6667	8	63.1481	2	0.0741	65000	65000130
2023年上半年度	1131130018	新北市立土城醫院（委託長庚醫療財團法人興建經營）	區域醫院	11	24	0.4583	6	57.8333	4	0.1667	65000	65000130
2022年上半年度	1132010024	沙爾德聖保祿修女會醫療財團法人聖保祿醫院	區域醫院	1	15	0.0667	6	55.4	0	0	68000	68000010
2022年全年度	1132010024	沙爾德聖保祿修女會醫療財團法人聖保祿醫院	區域醫院	2	39	0.0513	11	55.8205	2	0.0513	68000	68000010
2022年下半年度	1132010024	沙爾德聖保祿修女會醫療財團法人聖保祿醫院	區域醫院	1	24	0.0417	9	56.0833	2	0.0833	68000	68000010
2023年上半年度	1132010024	沙爾德聖保祿修女會醫療財團法人聖保祿醫院	區域醫院	1	35	0.0286	4	63.6857	3	0.0857	68000	68000010
2022年上半年度	1132070011	長庚醫療財團法人林口長庚紀念醫院	醫學中心	21	91	0.2308	42	62.7692	12	0.1319	68000	68000070
2022年全年度	1132070011	長庚醫療財團法人林口長庚紀念醫院	醫學中心	45	176	0.2557	54	61.3125	17	0.0966	68000	68000070
2022年下半年度	1132070011	長庚醫療財團法人林口長庚紀念醫院	醫學中心	24	85	0.2824	40	59.7529	5	0.0588	68000	68000070
2023年上半年度	1132070011	長庚醫療財團法人林口長庚紀念醫院	醫學中心	25	75	0.3333	37	62.6667	11	0.1467	68000	68000070
2022年上半年度	1133060019	天主教仁慈醫療財團法人仁慈醫院	地區醫院	0	1	0	1	61	1	1	10004	10004050
2022年全年度	1133060019	天主教仁慈醫療財團法人仁慈醫院	地區醫院	0	1	0	1	61	1	1	10004	10004050
2022年上半年度	1134010022	宜蘭仁愛醫療財團法人宜蘭仁愛醫院	地區醫院	0	1	0	1	72	0	0	10002	10002010
2022年全年度	1134010022	宜蘭仁愛醫療財團法人宜蘭仁愛醫院	地區醫院	0	1	0	1	72	0	0	10002	10002010
2022年上半年度	1134020019	醫療財團法人羅許基金會羅東博愛醫院	區域醫院	19	25	0.76	8	57.96	3	0.12	10002	10002020
2022年全年度	1134020019	醫療財團法人羅許基金會羅東博愛醫院	區域醫院	46	54	0.8519	8	62.1132	7	0.1321	10002	10002020
2022年下半年度	1134020019	醫療財團法人羅許基金會羅東博愛醫院	區域醫院	27	29	0.931	7	65.8214	4	0.1429	10002	10002020
2023年上半年度	1134020019	醫療財團法人羅許基金會羅東博愛醫院	區域醫院	23	27	0.8519	6	62.6667	2	0.0741	10002	10002020
2022年上半年度	1134020028	天主教靈醫會醫療財團法人羅東聖母醫院	區域醫院	0	3	0	1	63.6667	0	0	10002	10002020
2022年全年度	1134020028	天主教靈醫會醫療財團法人羅東聖母醫院	區域醫院	0	10	0	3	64.4	0	0	10002	10002020
2022年下半年度	1134020028	天主教靈醫會醫療財團法人羅東聖母醫院	區域醫院	0	7	0	3	64.7143	0	0	10002	10002020
2023年上半年度	1134020028	天主教靈醫會醫療財團法人羅東聖母醫院	區域醫院	0	6	0	4	74.8333	0	0	10002	10002020
2022年上半年度	1135050020	為恭醫療財團法人為恭紀念醫院	區域醫院	1	17	0.0588	4	53.8824	0	0	10005	10005050
2022年全年度	1135050020	為恭醫療財團法人為恭紀念醫院	區域醫院	2	33	0.0606	4	59.4242	0	0	10005	10005050
2022年下半年度	1135050020	為恭醫療財團法人為恭紀念醫院	區域醫院	1	16	0.0625	4	65.3125	0	0	10005	10005050
2023年上半年度	1135050020	為恭醫療財團法人為恭紀念醫院	區域醫院	2	19	0.1053	4	62.7368	3	0.1579	10005	10005050
2022年上半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	0	21	0	7	62.5238	3	0.1429	66000	66000170
2022年上半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	0	21	0	7	62.5238	3	0.1429	66000	66000170
2022年全年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	3	38	0.0789	9	60.5526	3	0.0789	66000	66000170
2022年全年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	3	38	0.0789	9	60.5526	3	0.0789	66000	66000170
2022年下半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	3	17	0.1765	6	58.1176	0	0	66000	66000170
2022年下半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	3	17	0.1765	6	58.1176	0	0	66000	66000170
2023年上半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	1	19	0.0526	4	62.7895	3	0.1579	66000	66000170
2023年上半年度	1136090519	佛教慈濟醫療財團法人台中慈濟醫院	區域醫院	1	19	0.0526	4	62.7895	3	0.1579	66000	66000170
2022年上半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	21	0	5	57.3333	2	0.0952	66000	66000280
2022年上半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	21	0	5	57.3333	2	0.0952	66000	66000280
2022年全年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	35	0	6	55.5294	2	0.0588	66000	66000280
2022年全年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	35	0	6	55.5294	2	0.0588	66000	66000280
2022年下半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	14	0	4	52.8571	0	0	66000	66000280
2022年下半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	14	0	4	52.8571	0	0	66000	66000280
2023年上半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	18	0	5	59.2222	1	0.0556	66000	66000280
2023年上半年度	1136200015	仁愛醫療財團法人大里仁愛醫院	區域醫院	0	18	0	5	59.2222	1	0.0556	66000	66000280
2022年上半年度	1137010024	彰化基督教醫療財團法人彰化基督教醫院	醫學中心	2	54	0.037	13	63.4151	9	0.1698	10007	10007010
